stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   2.80906] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80923] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80935] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80965] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80979] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80984] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80993] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80998] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81004] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81010] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81016] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81021] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81032] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81038] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81043] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81052] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81057] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81072] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81080] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81088] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81092] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81099] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81104] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81110] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81117] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81124] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81129] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81137] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81142] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81156] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81161] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81170] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81176] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81184] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81201] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81209] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81214] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81220] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81224] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81229] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81235] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81242] Score is : 769
